as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 500,000905,003022,003022.SZ,联泓新科,Levima Advanced Materials Corporation,Shenzhen Stock Exchange,深圳证券交易所,0.094
2026-06-04,CSI 500,000905,003031,003031.SZ,中瓷电子,"HEBEI SINOPACK ELECTRONIC TECHNOLOGY CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.243
2026-06-04,CSI 500,000905,003035,003035.SZ,南网能源,"China Southern Power Grid Energy Efficiency&Clean Energy Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.081
2026-06-04,CSI 500,000905,300001,300001.SZ,特锐德,Qingdao TGOOD Electric Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.274
2026-06-04,CSI 500,000905,300002,300002.SZ,神州泰岳,Beijing Ultrapower Software Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.147
2026-06-04,CSI 500,000905,300003,300003.SZ,乐普医疗,Lepu Medical Technology (Beijing) Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.154
2026-06-04,CSI 500,000905,300012,300012.SZ,华测检测,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.229
2026-06-04,CSI 500,000905,300017,300017.SZ,网宿科技,"Wangsu Science and Technology Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.347
2026-06-04,CSI 500,000905,300024,300024.SZ,机器人,Siasun Robot & Automation Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.176
2026-06-04,CSI 500,000905,300037,300037.SZ,新宙邦,Shenzhen Capchem Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.366
2026-06-04,CSI 500,000905,300054,300054.SZ,鼎龙股份,"Hubei Dinglong CO.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.481
2026-06-04,CSI 500,000905,300058,300058.SZ,蓝色光标,"Bluefocus Data Technology Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.569
